school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,subject,total_grade
GP,Male,15,Urban,GreaterThan3,Apart,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,Mathematics,46
GP,Female,16,Urban,GreaterThan3,Together,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,Mathematics,42
GP,Female,16,Urban,GreaterThan3,Together,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,Mathematics,41
GP,Female,16,Urban,GreaterThan3,Together,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,Mathematics,28
GP,Male,17,Urban,GreaterThan3,Together,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,Mathematics,16
GP,Male,16,Urban,LessThen3,Together,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,Mathematics,28
GP,Male,15,Urban,GreaterThan3,Together,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,Mathematics,42
GP,Male,15,Urban,GreaterThan3,Together,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,Mathematics,42
GP,Male,16,Urban,LessThen3,Together,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,Mathematics,46
GP,Male,16,Urban,LessThen3,Together,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,Mathematics,38
GP,Female,15,Rural,GreaterThan3,Together,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,Mathematics,27
GP,Female,16,Urban,GreaterThan3,Together,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,Mathematics,23
GP,Male,15,Urban,GreaterThan3,Together,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,Mathematics,35
GP,Male,15,Urban,GreaterThan3,Together,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,Mathematics,46
GP,Male,16,Urban,LessThen3,Apart,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,Mathematics,33
GP,Male,16,Urban,GreaterThan3,Together,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,Mathematics,33
GP,Male,15,Urban,GreaterThan3,Together,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,Mathematics,32
GP,Male,15,Urban,GreaterThan3,Together,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,Mathematics,50
GP,Male,15,Rural,GreaterThan3,Together,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,Mathematics,49
GP,Male,15,Urban,LessThen3,Together,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,Mathematics,30
GP,Male,16,Urban,GreaterThan3,Together,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,Mathematics,41
GP,Female,15,Urban,GreaterThan3,Together,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,Mathematics,21
GP,Male,15,Urban,LessThen3,Together,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,Mathematics,49
GP,Male,16,Rural,GreaterThan3,Apart,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,Mathematics,46
GP,Female,15,Rural,GreaterThan3,Together,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,Mathematics,35
GP,Female,15,Rural,GreaterThan3,Together,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,Mathematics,40
GP,Female,16,Urban,LessThen3,Together,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,Mathematics,28
GP,Male,15,Urban,LessThen3,Together,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,Mathematics,36
GP,Male,15,Urban,GreaterThan3,Together,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,Mathematics,55
GP,Male,15,Urban,GreaterThan3,Together,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,Mathematics,27
GP,Female,16,Urban,LessThen3,Together,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,Mathematics,29
GP,Female,15,Urban,LessThen3,Apart,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,Mathematics,22
GP,Female,16,Urban,LessThen3,Apart,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,Mathematics,34
GP,Male,16,Urban,GreaterThan3,Together,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,Mathematics,58
GP,Male,15,Urban,GreaterThan3,Together,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,Mathematics,44
GP,Female,15,Urban,GreaterThan3,Together,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,Mathematics,21
GP,Female,16,Urban,LessThen3,Together,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,Mathematics,38
GP,Female,15,Urban,LessThen3,Together,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,Mathematics,37
GP,Male,15,Urban,LessThen3,Apart,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,Mathematics,32
GP,Female,15,Urban,GreaterThan3,Together,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,Mathematics,29
GP,Female,15,Urban,LessThen3,Apart,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,Mathematics,36
GP,Female,16,Urban,GreaterThan3,Apart,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,Mathematics,27
GP,Female,15,Urban,GreaterThan3,Apart,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,Mathematics,44
GP,Male,15,Urban,GreaterThan3,Together,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,Mathematics,44
GP,Male,15,Urban,LessThen3,Together,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,Mathematics,28
GP,Female,16,Urban,GreaterThan3,Together,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,Mathematics,47
GP,Female,16,Rural,GreaterThan3,Together,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,Mathematics,32
GP,Female,16,Urban,GreaterThan3,Together,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,Mathematics,29
GP,Female,16,Urban,LessThen3,Together,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,Mathematics,27
GP,Female,16,Urban,GreaterThan3,Together,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,Mathematics,28
GP,Female,15,Urban,LessThen3,Together,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,Mathematics,30
GP,Female,16,Urban,LessThen3,Together,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,Mathematics,46
GP,Male,15,Urban,GreaterThan3,Apart,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,Mathematics,38
GP,Female,16,Urban,GreaterThan3,Together,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,Mathematics,20
GP,Female,15,Rural,LessThen3,Together,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,Mathematics,25
GP,Female,15,Rural,LessThen3,Together,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,Mathematics,48
GP,Male,16,Urban,GreaterThan3,Together,3,1,other,other,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,Mathematics,43
GP,Male,15,Urban,GreaterThan3,Together,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,Mathematics,30
GP,Female,15,Rural,GreaterThan3,Together,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,Mathematics,19
GP,Male,16,Urban,GreaterThan3,Together,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,Mathematics,38
GP,Female,16,Urban,GreaterThan3,Together,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,Mathematics,34
GP,Male,15,Urban,GreaterThan3,Together,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,Mathematics,28
GP,Male,15,Urban,GreaterThan3,Together,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,Mathematics,32
GP,Female,16,Urban,GreaterThan3,Together,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,Mathematics,33
GP,Male,17,Urban,GreaterThan3,Together,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,Mathematics,26
GP,Female,16,Urban,GreaterThan3,Together,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,Mathematics,15
GP,Male,15,Urban,GreaterThan3,Together,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,Mathematics,34
GP,Male,15,Urban,GreaterThan3,Together,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,Mathematics,32
GP,Female,15,Urban,LessThen3,Together,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,Mathematics,19
GP,Male,15,Urban,LessThen3,Together,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,Mathematics,45
GP,Female,15,Urban,GreaterThan3,Together,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,Mathematics,29
GP,Female,15,Urban,GreaterThan3,Together,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,Mathematics,24
GP,Female,16,Urban,LessThen3,Together,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,Mathematics,21
GP,Female,15,Urban,GreaterThan3,Together,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,Mathematics,41
GP,Male,16,Urban,GreaterThan3,Together,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,Mathematics,31
GP,Male,16,Urban,LessThen3,Apart,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,Mathematics,21
GP,Female,16,Urban,GreaterThan3,Together,3,3,other,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,Mathematics,22
GP,Female,15,Urban,GreaterThan3,Together,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,Mathematics,51
GP,Female,16,Urban,LessThen3,Together,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,Mathematics,19
GP,Female,16,Urban,GreaterThan3,Together,4,2,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,Mathematics,31
GP,Male,15,Urban,LessThen3,Together,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,Mathematics,38
GP,Female,15,Rural,GreaterThan3,Together,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,Mathematics,27
GP,Male,16,Rural,GreaterThan3,Together,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,Mathematics,41
GP,Female,16,Urban,GreaterThan3,Together,2,1,other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,Mathematics,27
GP,Female,16,Urban,GreaterThan3,Together,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,Mathematics,39
GP,Female,16,Urban,GreaterThan3,Together,4,3,other,at_home,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,Mathematics,24
GP,Male,16,Urban,GreaterThan3,Together,4,4,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,Mathematics,19
GP,Male,16,Urban,GreaterThan3,Together,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,Mathematics,50
GP,Male,15,Urban,GreaterThan3,Together,4,4,services,other,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,Mathematics,37
GP,Female,15,Urban,GreaterThan3,Together,3,2,services,other,home,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,Mathematics,19
GP,Male,15,Urban,GreaterThan3,Apart,3,4,services,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,Mathematics,52
GP,Female,15,Urban,GreaterThan3,Apart,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,Mathematics,32
GP,Female,15,Urban,GreaterThan3,Together,2,2,other,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,Mathematics,23
GP,Male,16,Urban,GreaterThan3,Together,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,Mathematics,52
GP,Male,15,Rural,GreaterThan3,Together,4,4,other,other,home,father,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,Mathematics,36
GP,Female,16,Urban,LessThen3,Together,4,4,health,health,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,Mathematics,45
GP,Male,15,Urban,LessThen3,Apart,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,Mathematics,56
GP,Female,16,Rural,GreaterThan3,Together,3,3,services,other,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,Mathematics,27
GP,Female,16,Urban,GreaterThan3,Together,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,Mathematics,36
GP,Male,15,Urban,LessThen3,Together,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,Mathematics,56
GP,Male,15,Rural,GreaterThan3,Together,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,Mathematics,27
GP,Male,16,Urban,GreaterThan3,Together,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,Mathematics,46
GP,Male,15,Urban,GreaterThan3,Together,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,Mathematics,38
GP,Male,16,Urban,GreaterThan3,Together,3,3,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,Mathematics,40
GP,Male,17,Rural,GreaterThan3,Together,1,3,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,Mathematics,24
GP,Male,15,Urban,GreaterThan3,Together,3,4,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,Mathematics,40
GP,Female,15,Urban,GreaterThan3,Together,1,2,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,Mathematics,46
GP,Male,15,Urban,GreaterThan3,Together,2,2,services,services,home,father,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,Mathematics,45
GP,Female,16,Urban,LessThen3,Together,2,4,other,health,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,Mathematics,39
GP,Male,16,Urban,GreaterThan3,Together,4,4,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,Mathematics,38
GP,Female,16,Urban,GreaterThan3,Together,2,2,other,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,5,4,4,1,1,5,Mathematics,23
GP,Male,15,Urban,GreaterThan3,Together,3,4,services,services,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,Mathematics,38
GP,Female,15,Urban,LessThen3,Apart,3,4,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,Mathematics,28
GP,Female,19,Urban,GreaterThan3,Together,0,1,at_home,other,course,other,1,2,3,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,Mathematics,24
GP,Male,18,Rural,GreaterThan3,Together,2,2,services,other,reputation,mother,1,1,2,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,2,4,Mathematics,11
GP,Male,16,Rural,GreaterThan3,Together,4,4,teacher,teacher,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,5,5,2,5,4,Mathematics,54
GP,Female,15,Rural,GreaterThan3,Together,3,4,services,teacher,course,father,2,3,2,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,2,5,Mathematics,12
GP,Female,15,Urban,GreaterThan3,Together,1,1,at_home,other,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,4,Mathematics,8
GP,Female,17,Urban,LessThen3,Together,2,2,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,Mathematics,35
GP,Female,16,Urban,GreaterThan3,Apart,3,4,services,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,Mathematics,34
GP,Male,15,Rural,GreaterThan3,Together,3,4,at_home,teacher,course,mother,4,2,0,no,yes,no,no,yes,yes,no,yes,5,3,3,1,1,5,Mathematics,9
GP,Female,15,Urban,GreaterThan3,Together,4,4,services,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,5,Mathematics,11
GP,Male,17,Rural,GreaterThan3,Together,3,4,at_home,other,course,mother,3,2,0,no,no,no,no,yes,yes,no,no,5,4,5,2,4,5,Mathematics,10
GP,Female,16,Urban,GreaterThan3,Apart,3,3,other,other,course,other,2,1,2,no,yes,no,yes,no,yes,yes,yes,4,3,2,1,1,5,Mathematics,4
GP,Male,16,Urban,LessThen3,Together,1,1,services,other,course,mother,1,2,1,no,no,no,no,yes,yes,no,yes,4,4,4,1,3,5,Mathematics,38
GP,Female,15,Urban,GreaterThan3,Together,4,4,teacher,teacher,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,Mathematics,47
GP,Male,15,Urban,GreaterThan3,Together,4,3,teacher,services,course,father,2,4,0,yes,yes,no,no,yes,yes,yes,no,2,2,2,1,1,3,Mathematics,16
GP,Male,16,Urban,LessThen3,Together,2,2,services,services,reputation,father,2,1,2,no,yes,no,yes,yes,yes,yes,no,2,3,3,2,2,2,Mathematics,27
GP,Female,15,Urban,GreaterThan3,Together,4,4,teacher,services,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,2,2,1,1,5,Mathematics,31
GP,Female,16,Urban,LessThen3,Together,1,1,at_home,at_home,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,4,3,3,1,Mathematics,41
GP,Male,17,Urban,GreaterThan3,Together,2,1,other,other,home,mother,1,1,3,no,yes,no,no,yes,yes,yes,no,5,4,5,1,2,5,Mathematics,5
GP,Female,15,Urban,GreaterThan3,Together,1,1,other,services,course,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,1,2,5,Mathematics,30
GP,Female,15,Urban,GreaterThan3,Together,3,2,health,services,home,father,1,2,3,no,yes,no,no,yes,yes,yes,no,3,3,2,1,1,3,Mathematics,13
GP,Female,15,Urban,GreaterThan3,Together,1,2,at_home,other,course,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,4,3,2,1,1,5,Mathematics,32
GP,Male,16,Urban,GreaterThan3,Together,4,4,teacher,teacher,course,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,3,3,2,2,1,5,Mathematics,13
GP,Male,15,Urban,LessThen3,Apart,2,1,services,other,course,mother,4,1,3,no,no,no,no,yes,yes,yes,no,4,5,5,2,5,5,Mathematics,27
GP,Male,18,Urban,LessThen3,Together,1,1,other,other,course,mother,1,1,3,no,no,no,no,yes,no,yes,yes,2,3,5,2,5,4,Mathematics,11
GP,Male,16,Urban,LessThen3,Together,2,1,at_home,other,course,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,Mathematics,39
GP,Female,15,Rural,GreaterThan3,Together,3,3,services,services,reputation,other,2,3,2,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,Mathematics,30
GP,Male,19,Urban,GreaterThan3,Together,3,2,services,at_home,home,mother,1,1,3,no,yes,no,no,yes,no,yes,yes,4,5,4,1,1,4,Mathematics,5
GP,Female,17,Urban,GreaterThan3,Together,4,4,other,teacher,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,4,Mathematics,34
GP,Male,15,Rural,GreaterThan3,Together,2,3,at_home,services,course,mother,1,2,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,1,1,1,Mathematics,27
GP,Male,17,Rural,LessThen3,Together,1,2,other,other,reputation,mother,1,1,0,no,no,no,no,yes,yes,no,no,2,2,2,3,3,5,Mathematics,41
GP,Female,18,Rural,GreaterThan3,Together,1,1,at_home,other,course,mother,3,1,3,no,yes,no,yes,no,yes,no,no,5,2,5,1,5,4,Mathematics,27
GP,Male,16,Rural,GreaterThan3,Together,2,2,at_home,other,course,mother,3,1,0,no,no,no,no,no,yes,no,no,4,2,2,1,2,3,Mathematics,47
GP,Male,16,Urban,GreaterThan3,Together,3,3,other,services,course,father,1,2,1,no,yes,yes,no,yes,yes,yes,yes,4,5,5,4,4,5,Mathematics,34
GP,Male,17,Rural,LessThen3,Together,2,1,at_home,other,course,mother,2,1,2,no,no,no,yes,yes,no,yes,yes,3,3,2,2,2,5,Mathematics,13
GP,Male,15,Rural,GreaterThan3,Together,3,2,other,other,course,mother,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,3,Mathematics,21
GP,Male,16,Urban,LessThen3,Together,1,2,other,other,course,mother,2,1,1,no,no,no,yes,yes,yes,no,no,4,4,4,2,4,5,Mathematics,7
GP,Male,17,Urban,GreaterThan3,Together,1,3,at_home,services,course,father,1,1,0,no,no,no,no,yes,no,yes,no,5,3,3,1,4,2,Mathematics,30
GP,Male,17,Rural,LessThen3,Together,1,1,other,services,course,mother,4,2,3,no,no,no,yes,yes,no,no,yes,5,3,5,1,5,5,Mathematics,20
